"","title","author","subject","abstract","meta"
"1","pETNNs: Partial Evolutionary Tensor Neural Networks for Solving Time-dependent Partial Differential Equations","Tunan Kao, Jin Zhao, Lei Zhang","Numerical Analysis (math.NA)","We present partial evolutionary tensor neural networks (pETNNs), a novel framework for solving time-dependent partial differential equations with both of high accuracy and remarkable extrapolation. Our proposed architecture leverages the inherent accuracy of tensor neural networks, while incorporating evolutionary parameters that enable remarkable extrapolation capabilities. By adopting innovative parameter update strategies, the pETNNs achieve a significant reduction in computational cost while maintaining precision and robustness. Notably, the pETNNs enhance the accuracy of conventional evolutional deep neural networks and empowers computational abilities to address high-dimensional problems. Numerical experiments demonstrate the superior performance of the pETNNs in solving time-dependent complex equations, including the Navier-Stokes equations, high-dimensional heat equation, high-dimensional transport equation and Korteweg-de Vries type equation.","Sun, 10 Mar 2024 04:05:45 UTC (2,453 KB)"
"2","XFLUIDS: A SYCL-based unified cross-architecture heterogeneous simulation solver for compressible reacting flows","Jinlong Li, Shucheng Pan","Computational Physics (physics.comp-ph)","We present a cross-architecture large-scale heterogeneous Navier-Stokes equation solver, XFLUIDS, for compressible reacting multicomponent flows in the three-dimensional structured mesh crossing different GPU platforms. The multi-component reacting flows are ubiquitous in many situations, with high-order FDM schemes used and calculation of reaction source integration, their numerical simulations are time-consuming to achieve high accuracy and capture the underlying multiscale features, and GPU-based acceleration methods are extremely helpful. At the same time, various accelerators have been released in the market, leading to a challenge of applications' adaptability. Based on an implementation of a heterogeneous programming standard, SYCL, it is now possible to develop heterogeneous parallel acceleration applications directly targeting multi-core CPUs, FPGAs, and GPUs from Nvidia, AMD, as well as Intel without translating any source code, demonstrating its high portability. MPI library is used to extend the solver to multi-GPU accelerated computing, with the GPU-ENABLED MPI technology supporting the direct data transmission between GPUs to reduce communication latency, and the weak-scaling and strong-scaling efficiency tested. This solver has been validated by several benchmark cases, including shock tube problems, diffusion problems, nitrogen dissociation problems, shock-bubble interaction problems, etc.","Sat, 9 Mar 2024 13:28:42 UTC (2,703 KB)"
"3","OmniJet-$α$: The first cross-task foundation model for particle physics","Joschka Birk, Anna Hallin, Gregor Kasieczka","High Energy Physics - Phenomenology (hep-ph)","Foundation models are multi-dataset and multi-task machine learning methods that once pre-trained can be fine-tuned for a large variety of downstream applications. The successful development of such general-purpose models for physics data would be a major breakthrough as they could improve the achievable physics performance while at the same time drastically reduce the required amount of training time and data. We report significant progress on this challenge on several fronts. First, a comprehensive set of evaluation methods is introduced to judge the quality of an encoding from physics data into a representation suitable for the autoregressive generation of particle jets with transformer architectures (the common backbone of foundation models). These measures motivate the choice of a higher-fidelity tokenization compared to previous works. Finally, we demonstrate transfer learning between an unsupervised problem (jet generation) and a classic supervised task (jet tagging) with our new OmniJet-$\alpha$ model. This is the first successful transfer between two different and actively studied classes of tasks and constitutes a major step in the building of foundation models for particle physics.","Fri, 8 Mar 2024 19:00:01 UTC (2,221 KB)"
"4","Using Machine Learning to Separate Cherenkov and Scintillation Light in Hybrid Neutrino Detector","Ayse Bat","Instrumentation and Detectors (physics.ins-det)","This research investigates the separation of Cherenkov and Scintillation light signals within a simulated Water-based Liquid Scintillator (WbLS) detector, utilizing the XGBoost machine learning algorithm. The simulation data were gathered using the Rat-Pac software, which was built on the Geant4 architecture. The use of the WbLS medium has the capability to generate both Scintillation and Cherenkov light inside a single detector. To show the separation power of these two physics events, we will use the supervised learning approach. The assessment utilized a confusion matrix, classification report, and ROC curve, with the ROC curve indicating a performance result of $0.96 \pm 1.2\times 10^{-4}$. The research also aimed to identify essential parameters for effectively distinguishing these physics events through machine learning. For this, the study also introduced the SHAP methodology, utilizing game theory to assess feature contributions. The findings demonstrated that the number of hits has a significant effect on the trained model, while the mean hit time has a somewhat smaller impact. This research advances the utilization of AI and simulation data for accurate Cherenkov and Scintillation light separation in neutrino detectors","Fri, 8 Mar 2024 09:51:09 UTC (1,723 KB)"
"5","Inverse Design of Photonic Crystal Surface Emitting Lasers is a Sequence Modeling Problem","Ceyao Zhang, Renjie Li, Cheng Zhang, Zhaoyu Zhang, Feng Yin","Applied Physics (physics.app-ph)","Photonic Crystal Surface Emitting Lasers (PCSEL)'s inverse design demands expert knowledge in physics, materials science, and quantum mechanics which is prohibitively labor-intensive. Advanced AI technologies, especially reinforcement learning (RL), have emerged as a powerful tool to augment and accelerate this inverse design process. By modeling the inverse design of PCSEL as a sequential decision-making problem, RL approaches can construct a satisfactory PCSEL structure from scratch. However, the data inefficiency resulting from online interactions with precise and expensive simulation environments impedes the broader applicability of RL approaches. Recently, sequential models, especially the Transformer architecture, have exhibited compelling performance in sequential decision-making problems due to their simplicity and scalability to large language models. In this paper, we introduce a novel framework named PCSEL Inverse Design Transformer (PiT) that abstracts the inverse design of PCSEL as a sequence modeling problem. The central part of our PiT is a Transformer-based structure that leverages the past trajectories and current states to predict the current actions. Compared with the traditional RL approaches, PiT can output the optimal actions and achieve target PCSEL designs by leveraging offline data and conditioning on the desired return. Results demonstrate that PiT achieves superior performance and data efficiency compared to baselines.","Fri, 8 Mar 2024 08:38:50 UTC (2,445 KB)"
"6","Storm Surge Modeling in the AI ERA: Using LSTM-based Machine Learning for Enhancing Forecasting Accuracy","Stefanos Giaremis, Noujoud Nader, Clint Dawson, Hartmut Kaiser, Carola Kaiser, Efstratios Nikidis","Machine Learning (cs.LG)","Physics simulation results of natural processes usually do not fully capture the real world. This is caused for instance by limits in what physical processes are simulated and to what accuracy. In this work we propose and analyze the use of an LSTM-based deep learning network machine learning (ML) architecture for capturing and predicting the behavior of the systemic error for storm surge forecast models with respect to real-world water height observations from gauge stations during hurricane events. The overall goal of this work is to predict the systemic error of the physics model and use it to improve the accuracy of the simulation results post factum. We trained our proposed ML model on a dataset of 61 historical storms in the coastal regions of the U.S. and we tested its performance in bias correcting modeled water level data predictions from hurricane Ian (2022). We show that our model can consistently improve the forecasting accuracy for hurricane Ian -- unknown to the ML model -- at all gauge station coordinates used for the initial data. Moreover, by examining the impact of using different subsets of the initial training dataset, containing a number of relatively similar or different hurricanes in terms of hurricane track, we found that we can obtain similar quality of bias correction by only using a subset of six hurricanes. This is an important result that implies the possibility to apply a pre-trained ML model to real-time hurricane forecasting results with the goal of bias correcting and improving the produced simulation accuracy. The presented work is an important first step in creating a bias correction system for real-time storm surge forecasting applicable to the full simulation area. It also presents a highly transferable and operationally applicable methodology for improving the accuracy in a wide range of physics simulation scenarios beyond storm surge forecasting.","Thu, 7 Mar 2024 13:19:38 UTC (10,920 KB)"
"7","Unveiling nutrient flow mediated stress in the plant roots using on-chip phytofluidic device","Kaushal Agarwal, Sumit Kumar Mehta, Pranab Kumar Mondal","Biological Physics (physics.bio-ph)","The initial emergence of the primary root from a germinating seed is a pivotal phase that influences a plant's survival. Abiotic factors such as pH, nutrient availability, and soil composition significantly affect root morphology and architecture. Of particular interest is the impact of nutrient flow on thigmomorphogenesis, a response to mechanical stimulation in early root growth, which remains largely unexplored. This study explores the intricate factors influencing early root system development, with a focus on the cooperative correlation between nutrient uptake and its flow dynamics. Using physiologically relevant, portable, and cost-effective microfluidic system for the controlled fluid environments offering hydraulic conductivity comparable to that of the soil, this study analyzes the interplay between nutrient flow and root growth post-germination. Emphasizing the relationship between root growth and nitrogen uptake, the findings reveal that nutrient flow significantly influences early root morphology, leading to increased length and improved nutrient uptake, varying with the flow rate. The experimental findings are supported by stress-related fluid flow-root interaction simulations and quantitative determination of nitrogen uptake using the Total Kjeldahl Nitrogen (TKN) method. The microfluidic approach offers novel insights into plant root dynamics under controlled flow conditions, filling a critical research gap. By providing a high-resolution platform, this study contributes to the understanding of how fluid-flow assisted nutrient uptake and pressure affect root-cell behavior, which, in turn, induces mechanical stress leading to thigmomorphogenesis. The findings hold implications for comprehending root responses to changing environmental conditions, paving the way for innovative agricultural and environmental management strategies.","Wed, 6 Mar 2024 05:29:25 UTC (1,917 KB)"
"8","GenML: A Python Library to Generate the Mittag-Leffler Correlated Noise","Xiang Qu, Hui Zhao, Wenjie Cai, Gongyi Wang, Zihan Huang","Mathematical Software (cs.MS)","Mittag-Leffler correlated noise (M-L noise) plays a crucial role in the dynamics of complex systems, yet the scientific community has lacked tools for its direct generation. Addressing this gap, our work introduces GenML, a Python library specifically designed for generating M-L noise. We detail the architecture and functionalities of GenML and its underlying algorithmic approach, which enables the precise simulation of M-L noise. The effectiveness of GenML is validated through quantitative analyses of autocorrelation functions and diffusion behaviors, showcasing its capability to accurately replicate theoretical noise properties. Our contribution with GenML enables the effective application of M-L noise data in numerical simulation and data-driven methods for describing complex systems, moving beyond mere theoretical modeling.","Thu, 7 Mar 2024 07:13:12 UTC (2,420 KB)"
"9","Scalable On-Chip Optical Linear Processing Unit Using a Single Thin-Film Lithium Niobate Ring Modulator","Zhaoang Deng, Jiaqing Li, Zhenhua Li, Chuyao Bian, Ranfeng Gan, Zihao Chen, Kaixuan Chen, Changjian Guo, Liu Liu, Jie Liu, Siyuan Yu","Optics (physics.optics)","Advancements in artificial intelligence (AI) and neuromorphic computing increasingly rely on the integration of photonics to achieve breakthroughs in processing capabilities. Our pioneering work introduces a photonic linear processing unit (LPU) that utilizes a cascading modulator structure incorporating micro-rings. This device, elegantly designed with only two thin-film lithium niobate (TFLN) modulators coupled with a micro-ring, stands as a paradigm of innovation that merges low-power consumption with formidable computational throughput, achieving 36.7 billion operations per second (GOPs).The crux of our design lies in the ring-modulator's flexible architecture, engineered as a compact and singular unit, which markedly streamlines system complexity while bolstering energy efficiency. It adeptly facilitates large-scale dot-product operations, supporting vector dimensions up to 5832, an impressive feat by current standards. Furthermore, this ring-modulator-based LPU exhibits proficiency in image classification, processing 28*28-pixel resolution imagery post hardware training. As data volume demands surge, our architecture offers a scalable solution through parallel matrix multiplications, which hinge solely on increased modulation rates. This development paves the way for a new class of photonic processors that promise to handle escalating data workloads with unprecedented flexibility and efficiency.","Thu, 7 Mar 2024 04:39:32 UTC (2,430 KB)"
"10","Multiple scattering simulation via physics-informed neural networks","Siddharth Nair, Timothy F. Walsh, Greg Pickrell, Fabio Semperlotti","Computational Physics (physics.comp-ph)","This work presents a physics-driven machine learning framework for the simulation of acoustic scattering problems. The proposed framework relies on a physics-informed neural network (PINN) architecture that leverages prior knowledge based on the physics of the scattering problem as well as a tailored network structure that embodies the concept of the superposition principle of linear wave interaction. The framework can also simulate the scattered field due to rigid scatterers having arbitrary shape as well as high-frequency problems. Unlike conventional data-driven neural networks, the PINN is trained by directly enforcing the governing equations describing the underlying physics, hence without relying on any labeled training dataset. Remarkably, the network model has significantly lower discretization dependence and offers simulation capabilities akin to parallel computation. This feature is particularly beneficial to address computational challenges typically associated with conventional mesh-dependent simulation methods. The performance of the network is investigated via a comprehensive numerical study that explores different application scenarios based on acoustic scattering.","Wed, 6 Mar 2024 22:45:52 UTC (6,638 KB)"
