"title","username","date","stars","content"
"Wonka","imseeg","9 December 2023",NA,"Memories of Gene Wilder's Willy Wonka performance come to mind and whereas his 1971 version was magical and witty, this 2023 version of Wonka is a bit underwhelming to be honest...The bad: the songs just dont excite me. They just dont. They are not terrible, but quite average. The songs in the 1971 version of Willy Wonka were superb. I can still remember them to this very day!More bad: there is a lack of magic and surprise. The story just doesnt take me on a trip like the original did. Sorry, that I keep comparing this one to the original. Perhaps I shouldnt?Not any good then? This movie will surely please the young kids who ofcourse are the target audience for this movie. It's a nice fantasy musical movie for sure, with a bunch of TERRIFIC English actors, who lift this movie up. Timothee Chalamet did an allright job as well.Nothing to really dislike about it, but nothing to get really excited about it either unfortunately, for me as a grownup fan of the original Willy Wonka with Gene Wilder."
"Wonka","masonsaul","9 December 2023",NA,"On paper, Wonka is a cynical cash grab of an idea but in the hands of the extremely talented duo of Paul King and Simon Farnaby it becomes another heartwarming story of a kind person who just wants to make the world a better place. Even if it feels its run time more than King and Faranby's previous work it still remains thoroughly entertaining and emotionally investing.Timothée Chalamet lacks the darker edge with this interpretation of Willy Wonka and that really doesn't matter considering what the film is going for. His Wonka is innocent to a fault, morally pure with a high level of quirk that Chalamet is able to communicate in his enunciation and movement. It's a nice change of pace compared to his usual roles.The supporting cast is full of comedians who take it in turns stealing scenes. Hugh Grant's Oompa Loompa is an uncanny highlight who takes a while to appear and is absolutely worth the wait. Paterson Joseph excels at playing a full on pantomime villain complimented by Matt Lucas and Matthew Baynton to make for a delightfully evil trio.Paul King's direction brings the expected whimsy with a nice level of energy to the musical numbers. The songs by Neil Hannon are generally fine, suitably entertaining in the moment without staying power so it successfully goes back to Pure Imagination a few times, with Joby Talbot's score happily sprinkling it in throughout."
"Wonka","CANpatbuck3664","26 December 2023",NA,"Getting the audience to commit to a musical requires some work. Wonka has a few extra hoops to jump through on top of that, they're building off of an existing property that they have to pay respects to as well. Establishing the world is paramount, we need to want to believe that Wonka could imagine these confections and use only the rarest of ingredients to make people fly or experience an entire party in a moment. Clearly Wonka's production budget was huge and the creative team uses it to great effect. The fantastical energy the movie is cultivating is dependent on how real a chocolate flower looks or how plausible it is for a giant chocolate vault guarded by monks seems. The practical sets were impressive and I wasn't annoyed by Wonka's use of CGI. It all blended together well and I have to credit everyone involved for selling it as successfully as they did. I'll caution that if you can't accept any fantastical elements, this movie is going to annoy you very quickly. You need to suspend disbelief and accept some dark quirks (like indentured servitude for orphans) on top of this completely fanciful adventure.I read Charlie and Chocolate Factory as a kid, I enjoyed it and I've seen the Gene Wilder Willy Wonka & The Chocolate Factory. I think you'll enjoy Wonka more if you're a fan of the property but it also works as a standalone story. Wonka's continued optimism in the face of failure and difficulty could go either way depending on how you see it (inspiring or annoying? You decide). His journey to becoming a successful chocolate maker isn't exceptionally deep but it's charming and it's clearly made with kids in mind. I think from that perspective, Wonka triumphs in taking the audience on a journey that should delight the younger members of the family and keep the less judgmental adults entertained.As much as there's lavish production design and a light and bouncy script, Wonka lives and dies by Timothee Chalamet's performance Willy Wonka. Timothee is an ascending talent and I liked him in the sci-fi epic Dune. I think Wonka proves he's got the talent to do almost anything. He does great work here, he brings a lot of kindness and warmth to the character and he anchors Wonka capably. He also skips around the fact that he's not the strongest vocalist. He still delivers during the musical numbers and there's some good sleight of hand to shield him from having to belt it out like it's a Broadway musical. The supporting cast is great across the board, they're all playing it big (Olivia Coleman, Tom Davis, Paterson Joseph, Matt Lucas, Mathew Baynton and Keegan-Michael Key are all enjoyably hammy as the villains of the piece) but that's also the genre and while they could have been toned down a little, I had to put it aside as a concession to the tone of the film. Kudos to Calah Lane who's portraying Noodle, she's very earnest to the point of being potentially cheesy but that's more of result of her character than her acting.I wasn't planning to go see this movie in theatres but I went out with a couple of friends and I had a surprisingly good time with this film. The lavish production budget, well rounded cast and an inherent sweetness (no pun intended) to the proceedings stripped me of any preconceived bias. Timothee Chalamet's exemplary performance sealed the deal. Wonka still isn't in my wheelhouse and if you don't enjoy musicals, I'm hesitant to recommend it. But if you're attached to the Charlie and the Chocolate Factory story or if you're in the mood to be swept away into a fantastical world of imagination, I think you'll enjoy Wonka wholeheartedly."
"Wonka","fiona_r_lamb","20 February 2024",NA,"I watched Wonka with my 6 and 7 yr old niece and nephew. None of us loved it. And I was really expecting to be WOWED. But it lacked magic for me. I thought Timothy Chalamet was insipid and weak, also he couldn't really sing; lacked the charisma Johnny Depp and Gene Wilder both had in spades.The only character that really entertained me was Hugh Grant's Oompa Loompa and he wasn't on screen enough, alas. The Cartel trio fell flat altho' it was cool to see three of the cast members of Ghosts in this. The young girl Noodle - I really didn't believe her character tbh.The set also reminded me of Lisbon, Portugal, strangely. Just not enough pizazz and the music was not very memorable at all. My nephew complained about the singing.It was just meh for me and I'm sad about that."
"Wonka","Larsii90","17 December 2023",NA,"Listen, I liked this movie. It was good, I just wished it gave me more. Felt like there was some underutilizing of potential, so it felt s little hollow for me.It didn't tug on my heart strings or emotions ever, but it made it chuckle and Timothee was great as Wonka. A lot of unecessary singing. I can fully get into a good musical if the songs are good and properly placed and spread out, but I can't stand it when they sing songs just to sing, when they could just... talk. Some of the songs the movie weren't really catchy or even good, and felt pointless.Positives: great casting, funny, beautiful sets and costumes. Could watch it at home just to watch a cozy movie (if you're into musicals), but not worth seeing in the theaters like I did."
"Wonka","davidallenxyz","24 December 2023",NA,"Trailers can be very instructive. After watching them, you would assume that Wonka is an origin travelogue starring young Willy and his first Oompa Loompa companion.Wrong!It's a musical set almost entirely in a fantasy town of chocolatiers with a large British supporting cast and barely any appearances by small orange men with green hair. Basically every scene featuring Hugh Grant is included in the trailer.I don't think the studio was very confident about this film (which is why they hid the songs and most of the characters from the trailer), so the rave reviews from the mainstream media must have been a pleasant surprise.But honestly, it's only an average film. Far, far behind the ""Paddington"" films from the same director.Here are the good points. The visuals are fantastic, beautifully capturing a fantasy town full of delicious chocolate. Perhaps a slight over-reliance on CGI but that is par for the course these days. Some of the cameo performances raise a laugh, Rowan Atkinson stands out as a corrupt priest, as do Olivia Colman and Tom Davis as unlikely lovers, and the triumvirate of devious chocolate makers. Plus Hugh Grant, obviously. And at least the storyline is easy to follow.But there is a lot that doesn't work.You have to start with Chalamet. He's quirky, he moves well, but he lacks warmth and texture. He's just forgettable as Wonka. The film invites comparisons with Gene Wilder's interpretation, but Timmy Tim doesn't even come close.Next up, the songs. No surprise that they cut them out of the trailer. They are weak. Generic routines that don't linger in the mind and don't add anything to the experience. Perhaps the only exception is a funny number performed by the chocolatiers called ""Sweet Tooth"".Third, which is a minor criticism but one which breaks the spell, is the smorgasbord of accents across the cast. Don't even try and understand if they mean anything, just accept how wrong it all sounds and move on.My final criticism is levied against the actual central theme of the story - Wonka's relationship with a young orphan girl called ""Noodle"" (a terrible choice of name). It hovers in the area between mawkish and cringeworthy and takes up most of the first half of the film. Oh, and she has a song written about her which is absolutely dreadful.It bears repeating that HUGH GRANT IS BARELY IN IT!Basically, if you are looking for a family-friendly film this winter that isn't completely awful, give Wonka a try.It seems that the bar has been set so low that the critics think this is special. It isn't. Please, please, please watch the Gene Wilder film instead and terrify your children in the old-fashioned way."
"Wonka","eddie_baggins","14 December 2023",NA,"Proving that his work on the one two punch that was Paddington and then it's universally praised sequel was not per chance, British director Paul King has managed to bring the same amount of energy, charm, heart and smarts he delivered with his marmalade loving bear to this high profile Willy Wonka prequel that should become the crowd pleasing hit of this years festive/holiday period.Utilising his comedy background and career making work on the cult UK TV series The Mighty Boosh (fans of which will be pleased to see a key role for Rich Fulcher here), King ensures that his musical infused adventure that follows Timothée Chalamet's young Willy Wonka during his first attempts to conquer the chocolate world with his magical inventions and colorful showmanship, is a film that constantly is on the move and one that ensures it's filled to the brim with wonder, whimsy and wackiness that should find it appealing to a wide ranging age-group and audience.It's not as though the world was exactly crying out to find out more about the beloved character many of us fell in love with either in Roald Dahl's original book or the Gene Wilder starring classic film from 1971 but King and his screenwriting partner Simon Farnaby instantly make us engaged and interested in this tale that has a wide ranging reach and works in a number of facets without ever losing momentum.Rarely pausing for breath between its colourful character interactions, enjoyable song and dance numbers and more poignant aspects that make Wonka more than just all sugar and no substance, King's enjoyable ride harbours a clear labour of love at its core that gels perfectly with its more old-school film-making vibe and delivery that once more acts as an example that Hollywood's incessant nature to try and be ""hip"" and boundary pushing isn't always needed to find a winning formula.Within King's winning Wonka formula he has managed to create and gift a number of memorably fun performances from his talented cast and while Chalamet gives it his best shot in easily his most challenging performance yet, his role as Willy Wonka doesn't always seem ideally suited to his acting sensibilities, it's in the supporting cast that Wonka finds its comedic gold.From Olivia Colman's yellow-toothed nasty Mrs. Scrubbit, Tom Davis's wild-haired Bleacher, Keegan-Michael Key's sweet-toothed police chief and Hugh Grant's (bizarrely controversial) scene-stealing Oompa-Loompa, Wonka's cast of newbies and industry vets alike all have a blast playing their parts here and Wonka's overall feeling and end result seems to be the product of a film that was a lot of fun to make and bring to life.There may not be any groundbreaking new messages taking place here and I don't suspect Wonka will ever be regarded as the type of family friendly all-time classic as its original source material or first film iteration are seen as but it would take a hard-hearted and Scrubbit like viewer to not find enjoyment from such an entertaining and imaginative new take on one of the worlds most well-known properties.Final Say -Another resounding success for director Paul King, who has here further established his reputation as the leader of family friendly cinematic adventures, Wonka is a charming and enjoyable big screen ride that deserves to be this years most resounding holiday hit.4 unsolved murders out of 5.Jordan and Eddie (The Movie Guys)"
"Wonka","kevin_robbins","18 December 2023",NA,"My wife and I caught Wonka (The 2023) in theaters last night. The storyline traces Wonka's lifelong journey to perfect the art of chocolate-making, inspired by his long-lost mother. With dreams of opening his own shop, Wonka faces financial constraints and navigates a world of labor and manipulation. The question remains: can he forge new friendships and still achieve his goals?Directed by Paul King (Paddington), the film stars Timothée Chalamet (Dune), Olivia Colman (The Lobster), Calah Lane (The Day Shall Come), Keegan-Michael Key (The Predator), and Rowan Atkinson (Bean).This movie proves to be a frustrating and uneven experience, lacking a cohesive element throughout. The dialogue feels inauthentic, the songs fail to captivate, and the overall storyline, while okay, leaves something to be desired. Although there are worthwhile subplots, such as the mom backstory, there are also misses like the Noodle character that doesn't quite land. Despite standout performances from Hugh Grant and the sweatshop owners, the feel still falls flat. The villains, settings, and attire are commendable, but Timothée Chalamet's portrayal of Wonka leaves something to be desired-missing the eerie and slightly scary essence the character demands.In conclusion, Wonka stands out as a significant disappointment for 2023. While I would rate it a 4/10, I'd still recommend watching it once to form your own opinion."
"Wonka","DeltaHomicide","6 December 2023",NA,"I went into this piece of cinema blind, taking a half day off work to take my young daughter to see it at the theater.Boy, was I happy to do so. The story is original, the actors superb, the music phenomenal, and the production was stupendous. It's a visual and auditory feast for the senses. I even shed a little tear at the end.Fans of the original will love it, and as mentioned, my little girl who's normally quite antsy watching anything outside of an animated feature was glued to her seat. I can't wait to watch it again with the family. This is a big win for the fantasy / musical genre of film."
"Wonka","jgeorge4","17 December 2023",NA,"I really had high hopes for this movie. Finally, I thought, Hollywood can take a step back from their incessant superhero schlock and do something genuinely creative and genuinely entertaining. And it seemed to be getting good reviews!Within the first thirty minutes, however, it becomes apparent this is a very drab, tedious affair. Somehow they managed to turn Willy Wonka into a joyless tale. If anything, it seemed to be slipping into ""Les Miz"" territory, and I was kind of hoping Olivia Colman might just go ahead and belt out ""Master of the House.""One of the few redeeming qualities is Hugh Grant as a sophisticated Oompa-Loompa. Aside from that, the supporting characters are horrible, the music instantly forgettable, and the plot is muddled and tedious, pulling at your emotions with tales of dead mothers and orphans rather than merry Wonkaesque mayhem.For Pete's sake, they were handed the keys to create Willy Wonka's origin story and they couldn't even make it watchable.Hollywood, just give up."
